id_municipio,nome,sigla_uf,idhm_e,idhm_r,renda_pc,indice_gini,prop_pobreza,taxa_analfabetismo_15_mais,expectativa_anos_estudo,taxa_desocupacao,ideb
2904050,Bonito,BA,0.467,0.552,2.49,0.5,43.9,20.32,8.7,7.27,3.7
2904100,Boquira,BA,0.497,0.564,266.71,0.53,39.88,25.81,8.86,11.2,3.9
2904209,Botuporã,BA,0.464,0.543,235.16,0.52,44.86,26.32,9.42,5.24,3.9
2904308,Brejões,BA,0.49,0.56,261.14,0.5,39.47,24.27,8.88,15.01,2.9
2904407,Brejolândia,BA,0.523,0.533,221.22,0.56,48.72,26.31,9.29,15.51,3.5
2904506,Brotas de Macaúbas,BA,0.445,0.552,247.49,0.56,45.57,21.22,8.45,6.47,3.2
2904605,Brumado,BA,0.554,0.63,403.22,0.52,25.36,16.28,8.81,9.63,4.2
2904704,Buerarema,BA,0.495,0.604,343.23,0.53,34.68,2.31,6.44,12.48,2.7
2904753,Buritirama,BA,0.471,0.504,184.53,0.57,56.15,26.05,8.92,9.48,3.4
2904803,Caatiba,BA,0.406,0.579,293.78,0.39,24.31,30,7.94,2.9,2.2
2904852,Cabaceiras do Paraguaçu,BA,0.49,0.525,209.45,0.54,51.63,2.65,8.48,4.97,2.2
2904902,Cachoeira,BA,0.577,0.615,368.11,0.56,33.83,16.01,8.51,11.88,2.3
2905206,Caetité,BA,0.484,0.631,405.31,0.59,32.54,20.42,7.96,7.22,3.7
2905305,Cafarnaum,BA,0.49,0.554,251.31,0.55,47.13,21.82,9.37,5.62,2.9
2905404,Cairu,BA,0.51,0.6,334.19,0.53,32.54,15.53,7.89,9.01,2.8
2905503,Caldeirão Grande,BA,0.473,0.526,211.26,0.55,52.34,29.26,8.25,10.73,3.3
2905602,Camacan,BA,0.419,0.608,351.84,0.6,38.74,22.82,7.41,16.11,3.4
2905701,Camaçari,BA,0.616,0.681,553.18,0.53,16.39,7.78,9.24,15.69,3.3
2905800,Camamu,BA,0.452,0.562,264.63,0.54,46.39,26.65,8.17,9.11,2.9
